
  x              y             z     Side   Disk    Ring   Module

7.43308      -0.226246      -174.4     1      9      1      1
8.75781      0.689449      -174.4     1      9      1      1
6.88351      0.939637      -174.4     1      9      1      1
10.3239      1.74525      -174.4     1      9      1      1
10.3097      2.21886      -174.4     1      9      1      1
7.67875      1.8705      -174.4     1      9      1      1
7.87952      2.86641      -174.4     1      9      1      1
7.92255      2.91863      -175.2     1      9      1      2
7.7375      3.70817      -175.2     1      9      1      2
6.36435      4.04353      -175.2     1      9      1      2
8.01405      5.41472      -175.2     1      9      1      2
5.9112      4.58005      -175.2     1      9      1      2
6.47527      5.10486      -175.2     1      9      1      2
6.55329      4.18979      -174.4     1      9      1      3
6.43066      5.11945      -174.4     1      9      1      3
5.88209      4.66277      -174.4     1      9      1      3
5.85837      5.24496      -174.4     1      9      1      3
6.17873      5.69702      -174.4     1      9      1      3
5.99299      5.73725      -174.4     1      9      1      3
4.86219      4.96295      -174.4     1      9      1      3
6.37427      6.61999      -174.4     1      9      1      3
6.75841      7.16146      -174.4     1      9      1      3
6.35108      6.81309      -174.4     1      9      1      3
6.41226      8.0828      -174.4     1      9      1      3
3.86022      5.56612      -174.4     1      9      1      3
6.24063      7.98542      -174.4     1      9      1      3
3.94688      5.71695      -175.2     1      9      1      4
4.79566      7.93621      -175.2     1      9      1      4
4.97114      8.75694      -175.2     1      9      1      4
3.22971      7.87779      -175.2     1      9      1      4
2.72963      7.87653      -175.2     1      9      1      4
2.83482      8.31732      -175.2     1      9      1      4
3.14023      9.57997      -175.2     1      9      1      4
3.02122      8.3074      -174.4     1      9      1      5
2.67941      7.88513      -174.4     1      9      1      5
2.72911      9.24566      -174.4     1      9      1      5
2.48607      8.63543      -174.4     1      9      1      5
1.31253      6.88527      -174.4     1      9      1      5
1.75193      9.99848      -174.4     1      9      1      5
1.26888      7.52063      -174.4     1      9      1      5
1.4151      8.5111      -174.4     1      9      1      5
0.378928      6.47564      -174.4     1      9      1      5
0.160197      6.69274      -174.4     1      9      1      5
0.347061      9.33913      -174.4     1      9      1      5
-0.202838      6.99242      -174.4     1      9      1      5
0.143352      9.35112      -174.4     1      9      1      5
0.130479      9.39512      -175.2     1      9      1      6
0.378403      6.50436      -175.2     1      9      1      6
0.156527      6.72263      -175.2     1      9      1      6
-0.700078      7.44854      -175.2     1      9      1      6
-1.49162      9.44166      -175.2     1      9      1      6
-1.87752      8.89701      -175.2     1      9      1      6
-1.76055      6.29736      -175.2     1      9      1      6
-2.59048      6.84504      -175.2     1      9      1      6
-1.78042      6.43878      -174.4     1      9      1      7
-2.57351      6.82122      -174.4     1      9      1      7
-3.7767      7.91606      -174.4     1      9      1      7
-3.85795      7.7286      -174.4     1      9      1      7
-4.88528      8.48607      -174.4     1      9      1      7
-3.95818      6.48649      -174.4     1      9      1      7
-5.84019      7.28151      -175.2     1      9      1      8
-4.77316      5.47437      -175.2     1      9      1      8
-4.62937      5.0943      -175.2     1      9      1      8
-4.50543      4.87843      -175.2     1      9      1      8
-7.5068      7.12985      -175.2     1      9      1      8
-7.07385      6.65666      -175.2     1      9      1      8
-5.06943      4.44187      -175.2     1      9      1      8
-5.05692      4.22784      -175.2     1      9      1      8
-6.37703      4.19615      -175.2     1      9      1      8
-8.23114      5.99491      -175.2     1      9      1      8
-5.07576      4.41141      -174.4     1      9      1      9
-8.23079      5.93761      -174.4     1      9      1      9
-5.03243      4.20976      -174.4     1      9      1      9
-5.49573      3.97698      -174.4     1      9      1      9
-5.47893      3.38404      -174.4     1      9      1      9
-6.40606      2.98768      -174.4     1      9      1      9
