DetId, BinaryDetId, Endcap-Disc name, Ring, r(mm), z(mm), tiltAngle(deg), phi(deg),  meanWidth(mm) (orthoradial), length(mm) (radial), sensorSpacing(mm), sensorThickness(mm)
352588824,1.0101000001E+028,FPIX_1-D1,1,52.725,252,90,99,16.8,43.45,0,0.15
352588828,1.0101000001E+028,FPIX_1-D1,1,52.725,256,90,117,16.8,43.45,0,0.15
352588832,1.0101000001E+028,FPIX_1-D1,1,52.725,252,90,135,16.8,43.45,0,0.15
352588836,1.0101000001E+028,FPIX_1-D1,1,52.725,256,90,153,16.8,43.45,0,0.15
352588840,1.0101000001E+028,FPIX_1-D1,1,52.725,252,90,171,16.8,43.45,0,0.15
352588844,1.0101000001E+028,FPIX_1-D1,1,52.725,256,90,-171,16.8,43.45,0,0.15
352588848,1.0101000001E+028,FPIX_1-D1,1,52.725,252,90,-153,16.8,43.45,0,0.15
352588852,1.0101000001E+028,FPIX_1-D1,1,52.725,256,90,-135,16.8,43.45,0,0.15
352588856,1.0101000001E+028,FPIX_1-D1,1,52.725,252,90,-117,16.8,43.45,0,0.15
352588860,1.0101000001E+028,FPIX_1-D1,1,52.725,256,90,-99,16.8,43.45,0,0.15
352588864,1.0101000001E+028,FPIX_1-D1,1,52.725,252,90,-81,16.8,43.45,0,0.15
352588868,1.0101000001E+028,FPIX_1-D1,1,52.725,256,90,-63,16.8,43.45,0,0.15
352588872,1.0101000001E+028,FPIX_1-D1,1,52.725,252,90,-45,16.8,43.45,0,0.15
352588876,1.0101000001E+028,FPIX_1-D1,1,52.725,256,90,-27,16.8,43.45,0,0.15
352588880,1.0101000001E+028,FPIX_1-D1,1,52.725,252,90,-9,16.8,43.45,0,0.15
352588804,1.0101000001E+028,FPIX_1-D1,1,52.725,256,90,9,16.8,43.45,0,0.15
352588808,1.0101000001E+028,FPIX_1-D1,1,52.725,252,90,27,16.8,43.45,0,0.15
352588812,1.0101000001E+028,FPIX_1-D1,1,52.725,256,90,45,16.8,43.45,0,0.15
352588816,1.0101000001E+028,FPIX_1-D1,1,52.725,252,90,63,16.8,43.45,0,0.15
352588820,1.0101000001E+028,FPIX_1-D1,1,52.725,256,90,81,16.8,43.45,0,0.15
352592932,1.0101000001E+028,FPIX_1-D1,2,70.725,244,90,95.625,16.8,43.45,0,0.15
352592936,1.0101000001E+028,FPIX_1-D1,2,70.725,248,90,106.875,16.8,43.45,0,0.15
352592940,1.0101000001E+028,FPIX_1-D1,2,70.725,244,90,118.125,16.8,43.45,0,0.15
352592944,1.0101000001E+028,FPIX_1-D1,2,70.725,248,90,129.375,16.8,43.45,0,0.15
352592948,1.0101000001E+028,FPIX_1-D1,2,70.725,244,90,140.625,16.8,43.45,0,0.15
352592952,1.0101000001E+028,FPIX_1-D1,2,70.725,248,90,151.875,16.8,43.45,0,0.15
352592956,1.0101000001E+028,FPIX_1-D1,2,70.725,244,90,163.125,16.8,43.45,0,0.15
352592960,1.0101000001E+028,FPIX_1-D1,2,70.725,248,90,174.375,16.8,43.45,0,0.15
352592964,1.0101000001E+028,FPIX_1-D1,2,70.725,244,90,-174.375,16.8,43.45,0,0.15
352592968,1.0101000001E+028,FPIX_1-D1,2,70.725,248,90,-163.125,16.8,43.45,0,0.15
352592972,1.0101000001E+028,FPIX_1-D1,2,70.725,244,90,-151.875,16.8,43.45,0,0.15
